;student_id;G1;G2;G3;school;absences;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;final_grade
0;0;13;13;14;GP;14;F;17;U;LE3;T;4;3;health;other;reputation;father;1;2;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3;13.333333333333334
1;1;17;16;16;GP;0;M;15;R;GT3;T;4;3;teacher;at_home;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;5;2;1;1;5;16.333333333333332
2;2;8;6;7;GP;18;M;16;U;LE3;A;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;1;3;3;5;5;7.0
3;3;10;10;10;MS;17;F;17;R;GT3;T;3;1;at_home;other;reputation;mother;1;2;0;no;yes;yes;yes;no;yes;yes;no;4;5;4;2;3;1;10.0
4;4;7;8;9;GP;2;F;19;U;GT3;T;0;1;at_home;other;course;other;1;2;3;no;yes;no;no;no;no;no;no;3;4;2;1;1;5;8.0
5;5;10;12;11;GP;16;M;16;U;GT3;T;4;4;teacher;teacher;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;5;5;5;5;11.0
6;6;18;18;19;GP;5;F;18;U;GT3;T;2;2;at_home;at_home;other;mother;1;3;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;2;2;18.333333333333332
7;7;13;13;13;GP;2;F;16;U;LE3;T;2;4;other;health;course;father;2;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;2;2;1;2;5;13.0
8;8;7;10;10;GP;0;F;16;R;GT3;T;3;3;services;other;reputation;father;1;3;1;yes;yes;no;yes;yes;yes;yes;no;4;1;2;1;1;2;9.0
9;9;5;0;0;GP;0;M;19;U;GT3;T;3;2;services;at_home;home;mother;1;1;3;no;yes;no;no;yes;no;yes;yes;4;5;4;1;1;4;1.6666666666666667
10;10;14;12;12;GP;0;M;16;U;LE3;T;1;1;services;other;course;mother;1;2;1;no;no;no;no;yes;yes;no;yes;4;4;4;1;3;5;12.666666666666666
11;11;10;9;9;GP;75;F;18;R;GT3;A;3;2;other;services;home;mother;2;2;0;no;no;no;no;no;no;yes;yes;4;1;1;1;1;5;9.333333333333334
12;12;10;10;10;GP;2;M;17;U;GT3;T;1;3;at_home;services;course;father;1;1;0;no;no;no;no;yes;no;yes;no;5;3;3;1;4;2;10.0
13;13;15;12;14;GP;0;F;17;U;GT3;T;4;2;other;other;reputation;mother;2;3;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3;13.666666666666666
14;14;10;11;11;GP;6;F;16;R;GT3;T;4;4;health;teacher;other;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;2;4;4;2;3;4;10.666666666666666
15;15;10;10;10;GP;0;F;15;U;LE3;T;4;3;services;services;reputation;father;1;2;0;yes;no;no;yes;yes;yes;yes;yes;4;4;4;2;4;2;10.0
16;16;15;15;15;GP;4;M;15;U;LE3;T;2;2;services;services;home;mother;2;2;0;no;no;yes;yes;yes;yes;yes;no;5;3;3;1;3;4;15.0
17;17;17;18;18;GP;0;M;20;U;GT3;A;3;2;services;other;course;other;1;1;0;no;no;no;yes;yes;yes;no;no;5;5;3;1;1;5;17.666666666666668
18;18;10;9;8;GP;2;F;15;R;GT3;T;2;4;services;health;course;mother;1;3;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;5;9.0
19;19;16;15;16;GP;9;M;18;R;GT3;T;4;3;teacher;services;course;mother;1;3;0;no;no;no;no;yes;yes;yes;yes;5;3;2;1;2;4;15.666666666666666
20;20;10;8;9;GP;10;M;16;R;GT3;T;4;2;teacher;services;other;mother;1;1;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;3;4;3;9.0
21;21;13;14;14;GP;0;M;16;U;GT3;T;2;3;other;other;home;father;2;1;0;no;no;no;no;yes;yes;yes;no;5;3;3;1;1;3;13.666666666666666
22;22;6;8;8;GP;16;M;22;U;GT3;T;3;1;services;services;other;mother;1;1;3;no;no;no;no;no;no;yes;yes;5;4;5;5;5;1;7.333333333333333
23;23;11;11;10;GP;0;M;17;U;LE3;T;4;4;other;teacher;home;father;2;1;0;no;no;yes;no;yes;yes;yes;no;4;1;1;2;2;5;10.666666666666666
24;24;16;15;15;GP;2;F;16;U;LE3;T;4;3;teacher;services;course;mother;3;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;1;2;1;15.333333333333334
25;25;13;14;13;GP;0;M;16;U;GT3;T;3;3;other;services;home;father;2;1;0;no;no;no;yes;yes;yes;yes;no;5;4;2;1;1;5;13.333333333333334
26;26;14;14;14;GP;4;F;17;U;GT3;T;4;4;teacher;teacher;course;mother;2;3;0;no;yes;yes;no;no;yes;yes;yes;4;3;3;1;2;4;14.0
27;27;13;13;13;MS;0;F;18;R;LE3;A;1;4;at_home;other;course;mother;3;2;0;no;no;no;no;yes;yes;no;yes;4;3;4;1;4;5;13.0
28;28;10;10;9;GP;0;M;18;U;GT3;T;4;3;teacher;other;course;mother;1;3;0;no;yes;yes;no;yes;yes;yes;yes;5;4;5;2;3;5;9.666666666666666
29;29;10;8;11;GP;6;F;16;U;GT3;T;1;1;services;services;course;father;4;1;0;yes;yes;no;yes;no;yes;yes;yes;5;5;5;5;5;5;9.666666666666666
30;30;8;9;10;GP;2;F;16;U;GT3;T;2;1;other;other;course;mother;1;2;0;no;yes;yes;no;yes;yes;no;yes;4;3;5;1;1;5;9.0
31;31;9;9;10;GP;4;F;17;U;GT3;T;1;1;other;other;course;mother;1;2;0;no;yes;yes;no;no;yes;no;no;4;4;4;1;3;1;9.333333333333334
32;32;11;11;11;GP;4;M;16;U;LE3;A;3;4;services;other;home;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5;11.0
33;33;7;8;0;GP;0;F;17;U;GT3;T;3;2;other;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;4;3;2;2;3;2;5.0
34;34;12;11;12;MS;0;F;17;R;GT3;T;1;2;other;services;course;father;2;2;0;no;no;no;no;no;yes;no;no;3;2;2;1;2;3;11.666666666666666
35;35;9;9;9;GP;8;M;16;U;LE3;T;2;2;services;services;reputation;father;2;1;2;no;yes;no;yes;yes;yes;yes;no;2;3;3;2;2;2;9.0
36;36;10;12;12;GP;2;M;15;U;GT3;T;2;3;other;services;course;father;1;1;0;yes;yes;yes;yes;no;yes;yes;yes;3;2;2;1;3;3;11.333333333333334
37;37;10;9;0;GP;0;F;19;U;GT3;T;4;4;health;other;reputation;other;2;2;0;no;yes;yes;yes;yes;yes;yes;no;2;3;4;2;3;2;6.333333333333333
38;38;12;12;12;GP;6;F;17;U;LE3;T;2;2;services;other;course;mother;2;2;0;yes;yes;yes;no;yes;yes;yes;yes;4;4;4;2;3;5;12.0
39;39;14;15;16;GP;3;M;17;U;GT3;T;3;3;other;services;reputation;mother;1;1;0;no;no;no;yes;no;yes;yes;no;4;3;5;3;5;5;15.0
40;40;15;14;15;GP;2;F;15;U;GT3;T;4;2;health;services;home;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;3;2;2;1;1;5;14.666666666666666
41;41;13;12;12;GP;0;M;16;U;GT3;T;4;4;services;services;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;5;3;2;1;2;5;12.333333333333334
42;42;11;12;10;MS;0;M;18;R;LE3;T;3;2;services;other;course;mother;3;1;0;no;no;no;no;no;yes;yes;no;4;4;1;3;4;5;11.0
43;43;7;7;8;GP;3;F;17;U;GT3;T;2;3;at_home;other;home;father;2;1;0;no;yes;yes;no;yes;yes;no;no;3;3;3;1;4;3;7.333333333333333
44;44;9;8;10;GP;6;F;18;R;GT3;T;1;1;at_home;other;course;mother;3;1;3;no;yes;no;yes;no;yes;no;no;5;2;5;1;5;4;9.0
45;45;7;7;7;GP;6;F;17;R;GT3;T;4;3;teacher;other;reputation;mother;2;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;2;1;1;4;7.0
46;46;16;16;16;GP;2;F;16;U;GT3;T;4;3;health;other;home;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;5;1;5;2;16.0
47;47;5;8;7;GP;0;M;17;R;LE3;T;1;1;other;services;course;mother;4;2;3;no;no;no;yes;yes;no;no;yes;5;3;5;1;5;5;6.666666666666667
48;48;8;9;10;MS;4;F;18;R;LE3;T;4;4;teacher;services;course;mother;1;2;0;no;no;yes;yes;yes;yes;yes;no;5;4;3;3;4;2;9.0
49;49;13;15;15;GP;0;M;16;U;GT3;T;0;2;other;other;other;mother;1;1;0;no;no;yes;no;no;yes;yes;no;4;3;2;2;4;5;14.333333333333334
50;50;15;14;14;MS;4;M;18;U;GT3;T;4;4;teacher;teacher;home;father;1;2;0;no;no;yes;yes;no;yes;yes;no;3;2;4;1;4;2;14.333333333333334
51;51;12;13;12;GP;2;M;16;U;GT3;T;3;3;services;other;home;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;4;2;3;1;2;3;12.333333333333334
52;52;10;12;12;GP;4;F;15;U;GT3;T;2;1;services;other;reputation;father;3;3;0;no;yes;no;yes;yes;yes;yes;no;5;2;2;1;1;4;11.333333333333334
53;53;6;10;10;GP;4;F;16;U;GT3;T;3;3;other;other;home;father;1;2;0;no;yes;yes;no;yes;yes;no;no;4;3;2;1;2;5;8.666666666666666
54;54;10;10;11;GP;4;M;17;U;GT3;T;4;3;other;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;5;2;3;1;1;2;10.333333333333334
55;55;8;9;10;GP;8;F;16;U;GT3;A;2;1;other;other;other;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;5;3;4;1;1;2;9.0
56;56;13;10;11;GP;22;F;19;U;LE3;T;3;2;services;other;reputation;other;2;2;1;no;yes;yes;no;no;yes;yes;yes;4;2;2;1;2;1;11.333333333333334
57;57;7;7;9;MS;4;F;19;U;LE3;T;3;2;services;services;home;other;2;2;2;no;no;no;yes;yes;yes;no;yes;3;2;2;1;1;3;7.666666666666667
58;58;13;13;13;MS;2;M;17;U;GT3;T;3;3;health;other;course;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;4;5;4;2;3;3;13.0
59;59;14;15;15;GP;4;M;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;3;2;2;1;1;5;14.666666666666666
60;60;11;9;10;GP;19;M;17;U;LE3;A;3;2;teacher;services;home;mother;1;1;1;no;no;no;no;yes;yes;yes;no;4;4;4;3;4;3;10.0
61;61;6;6;8;GP;13;M;18;U;LE3;T;3;3;services;health;home;father;1;2;1;no;yes;yes;no;yes;yes;yes;no;3;2;4;2;4;4;6.666666666666667
62;62;9;9;10;GP;6;M;15;U;GT3;T;4;3;teacher;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;2;3;5;9.333333333333334
63;63;15;15;16;GP;2;M;16;U;LE3;T;4;2;teacher;other;course;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;4;5;1;1;3;5;15.333333333333334
64;64;12;13;14;GP;0;F;16;U;GT3;A;2;2;other;other;reputation;mother;1;2;0;yes;yes;yes;no;yes;yes;yes;no;3;3;4;1;1;4;13.0
65;65;7;10;11;GP;25;F;16;U;LE3;T;2;2;other;other;home;mother;2;2;1;no;yes;no;yes;no;yes;yes;yes;3;3;3;1;2;3;9.333333333333334
66;66;9;10;10;GP;4;F;17;U;GT3;T;2;2;at_home;at_home;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;1;4;9.666666666666666
67;67;11;11;11;GP;4;M;17;R;GT3;T;2;2;other;other;course;father;2;2;0;no;yes;yes;yes;yes;yes;yes;no;4;5;2;1;1;1;11.0
68;68;5;5;6;GP;4;F;17;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;5.333333333333333
69;69;17;15;16;GP;4;M;17;U;GT3;T;4;4;services;teacher;home;mother;1;1;0;no;no;no;no;yes;yes;yes;no;5;2;3;1;2;5;16.0
70;70;12;12;14;GP;2;M;16;U;GT3;T;3;1;other;other;reputation;mother;1;1;0;no;no;no;yes;yes;yes;no;no;5;3;2;2;2;5;12.666666666666666
71;71;7;7;7;GP;5;F;16;U;GT3;A;3;1;services;other;course;mother;1;2;3;no;yes;yes;no;yes;yes;yes;no;2;3;3;2;2;4;7.0
72;72;9;9;10;GP;0;F;16;U;LE3;T;4;4;teacher;teacher;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;5;2;1;2;3;9.333333333333334
73;73;5;6;6;GP;6;F;18;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;5.666666666666667
74;74;15;13;15;GP;9;M;18;U;LE3;A;4;4;teacher;teacher;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;4;3;1;1;2;14.333333333333334
75;75;13;15;15;GP;0;F;17;U;GT3;T;4;3;health;other;reputation;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;1;3;4;14.333333333333334
76;76;12;11;12;GP;16;M;16;U;GT3;T;3;2;services;services;course;mother;2;1;1;no;yes;no;yes;no;no;no;no;4;5;2;1;1;2;11.666666666666666
77;77;10;10;10;GP;2;F;17;U;GT3;T;2;4;at_home;health;reputation;mother;2;2;0;no;yes;yes;no;yes;yes;yes;yes;4;3;3;1;1;1;10.0
78;78;13;13;12;GP;0;M;15;U;GT3;T;3;4;services;services;home;father;1;1;0;yes;no;no;no;yes;yes;yes;no;5;5;5;3;2;5;12.666666666666666
79;79;12;10;12;GP;10;F;17;U;GT3;A;2;1;other;other;course;mother;2;3;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3;11.333333333333334
80;80;6;5;0;MS;0;F;18;U;GT3;T;1;1;other;other;course;mother;2;2;1;no;no;no;yes;yes;yes;no;no;1;1;1;1;1;5;3.6666666666666665
81;81;6;7;0;GP;0;F;15;U;GT3;T;3;2;health;services;home;father;1;2;3;no;yes;no;no;yes;yes;yes;no;3;3;2;1;1;3;4.333333333333333
82;82;14;12;12;GP;8;F;18;U;GT3;T;2;4;services;at_home;reputation;other;1;2;1;no;yes;yes;yes;yes;yes;yes;no;4;4;3;1;1;3;12.666666666666666
83;83;11;11;10;GP;8;M;15;U;GT3;T;4;0;teacher;other;course;mother;2;4;0;no;no;no;yes;yes;yes;yes;no;3;4;3;1;1;1;10.666666666666666
84;84;10;9;10;GP;10;M;18;U;GT3;T;4;2;health;other;reputation;father;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;5;1;3;5;9.666666666666666
85;85;14;12;11;GP;4;M;17;U;GT3;T;3;3;health;other;home;mother;1;1;0;no;yes;yes;no;yes;yes;yes;no;4;4;3;1;3;5;12.333333333333334
86;86;15;14;14;GP;6;M;18;U;GT3;T;2;1;services;services;reputation;mother;1;3;0;no;no;yes;yes;yes;yes;yes;no;4;2;4;1;3;2;14.333333333333334
87;87;7;7;0;GP;0;M;18;U;GT3;T;2;2;other;services;reputation;father;1;2;1;no;no;no;no;yes;no;yes;no;5;5;4;3;5;2;4.666666666666667
88;88;19;18;19;MS;0;F;18;R;LE3;T;4;4;other;other;reputation;mother;2;3;0;no;no;no;no;yes;yes;yes;no;5;4;4;1;1;1;18.666666666666668
89;89;8;7;6;GP;4;F;16;U;LE3;T;2;2;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;4;1;2;2;7.0
90;90;10;13;13;GP;6;M;15;R;GT3;T;4;4;other;other;home;father;4;4;0;no;yes;yes;yes;yes;yes;yes;yes;1;3;5;3;5;1;12.0
91;91;8;7;8;MS;7;M;18;U;LE3;T;1;3;at_home;services;course;mother;1;1;1;no;no;no;no;yes;no;yes;yes;4;3;3;2;3;3;7.666666666666667
92;92;13;13;13;GP;23;F;17;U;GT3;A;4;3;services;services;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;2;2;1;2;5;13.0
93;93;12;13;13;GP;0;M;18;U;GT3;T;2;2;other;other;home;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;5;5;4;12.666666666666666
94;94;16;17;18;GP;4;F;15;U;GT3;T;4;3;services;other;reputation;mother;1;1;0;no;no;yes;yes;yes;yes;yes;no;4;5;5;1;3;1;17.0
95;95;9;11;11;GP;2;F;15;U;GT3;T;4;4;teacher;services;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;4;2;2;1;1;5;10.333333333333334
96;96;15;14;14;GP;4;F;18;U;GT3;T;2;3;other;services;reputation;father;1;4;0;no;yes;yes;yes;yes;yes;yes;yes;4;5;5;1;3;2;14.333333333333334
97;97;12;10;11;GP;2;M;17;U;GT3;T;1;1;other;other;reputation;father;1;2;0;no;no;yes;no;no;yes;yes;no;4;3;3;1;2;4;11.0
98;98;6;0;0;GP;0;F;18;R;GT3;T;2;1;other;other;reputation;mother;2;2;0;no;yes;no;no;yes;no;yes;yes;4;3;5;1;2;3;2.0
99;99;11;11;10;MS;2;M;17;U;GT3;T;2;3;other;services;home;father;2;2;0;no;no;no;yes;yes;yes;yes;no;4;4;3;1;1;3;10.666666666666666
100;100;15;14;13;GP;20;M;19;U;GT3;T;3;3;other;other;home;other;1;2;1;no;yes;no;yes;yes;yes;yes;yes;4;4;4;1;1;3;14.0
101;101;9;8;8;GP;2;M;18;U;LE3;T;2;2;other;other;course;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;5;5;2;4;5;8.333333333333334
102;102;11;11;11;GP;12;M;19;U;LE3;A;4;3;services;at_home;reputation;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;3;1;1;1;1;11.0
103;103;10;13;12;GP;12;F;17;U;LE3;T;2;2;other;other;course;father;1;1;0;no;yes;no;no;yes;yes;yes;yes;3;4;4;1;3;5;11.666666666666666
104;104;7;0;0;GP;0;M;16;U;LE3;T;1;2;other;other;course;mother;2;1;1;no;no;no;yes;yes;yes;no;no;4;4;4;2;4;5;2.3333333333333335
105;105;9;9;10;GP;6;F;16;U;GT3;T;1;1;at_home;other;home;mother;2;1;0;no;yes;yes;no;yes;yes;no;no;4;3;2;1;4;5;9.333333333333334
106;106;13;13;14;GP;0;F;16;U;GT3;T;4;4;teacher;services;home;mother;1;3;0;no;yes;no;yes;no;yes;yes;no;5;3;2;1;1;5;13.333333333333334
107;107;12;12;13;GP;13;M;17;U;LE3;T;4;4;services;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;3;5;4;5;3;12.333333333333334
108;108;7;10;10;GP;6;M;16;U;GT3;T;3;3;at_home;other;reputation;other;3;2;0;yes;yes;no;no;no;yes;yes;no;5;3;3;1;3;2;9.0
109;109;10;9;11;GP;4;F;17;U;GT3;T;2;2;other;other;course;mother;1;2;0;no;yes;no;no;no;yes;yes;no;5;4;5;1;2;5;10.0
110;110;8;9;9;MS;5;M;19;U;LE3;T;1;1;other;at_home;course;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;2;3;3;3;5;8.666666666666666
111;111;8;8;8;GP;30;M;17;U;LE3;A;4;1;services;other;home;mother;2;1;0;no;no;yes;yes;yes;yes;yes;yes;4;5;4;2;4;5;8.0
112;112;7;6;6;GP;18;F;17;R;GT3;T;2;2;other;other;reputation;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;5;3;2;1;2;3;6.333333333333333
113;113;14;14;14;GP;4;F;16;U;GT3;T;4;4;health;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;4;4;4;1;2;2;14.0
114;114;8;9;8;GP;38;M;19;U;GT3;T;4;4;teacher;services;reputation;other;2;1;1;no;yes;yes;no;yes;yes;yes;yes;4;3;4;1;1;4;8.333333333333334
115;115;13;12;12;GP;20;F;16;U;GT3;T;2;1;other;other;home;mother;1;1;0;no;no;no;no;yes;yes;yes;yes;4;5;2;1;1;5;12.333333333333334
116;116;14;15;16;GP;4;F;16;U;LE3;T;4;4;health;health;other;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;5;1;1;4;15.0
117;117;14;14;13;GP;2;F;16;U;LE3;T;1;1;at_home;at_home;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;4;4;3;3;1;13.666666666666666
118;118;5;5;5;GP;12;F;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;4;3;1;2;3;5.0
119;119;8;10;10;GP;6;F;16;U;GT3;T;2;3;other;other;reputation;mother;1;2;0;yes;yes;yes;yes;yes;yes;no;no;4;4;3;1;3;4;9.333333333333334
120;120;11;13;14;GP;6;M;15;U;LE3;T;2;2;services;health;reputation;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;1;4;12.666666666666666
121;121;7;4;0;GP;0;M;18;R;GT3;T;2;2;services;other;reputation;mother;1;1;2;no;yes;no;yes;yes;yes;yes;no;3;3;3;1;2;4;3.6666666666666665
122;122;12;11;12;GP;2;M;17;U;LE3;T;2;3;services;services;reputation;father;1;2;0;no;yes;yes;no;no;yes;yes;no;5;3;3;1;3;3;11.666666666666666
123;123;16;14;15;GP;6;M;15;U;GT3;T;2;2;services;services;home;father;1;4;0;no;yes;yes;yes;yes;yes;yes;no;5;5;4;1;2;5;15.0
124;124;12;12;11;GP;2;F;15;R;GT3;T;3;4;services;health;course;mother;1;3;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;5;11.666666666666666
125;125;7;6;6;GP;26;F;15;U;GT3;T;3;2;services;other;home;mother;2;2;0;yes;yes;yes;no;yes;yes;yes;no;4;3;5;1;1;2;6.333333333333333
126;126;11;11;10;GP;6;M;15;U;LE3;A;4;2;health;health;other;father;2;1;1;no;no;no;no;yes;yes;no;no;5;5;5;3;4;5;10.666666666666666
127;127;12;12;11;GP;12;M;17;U;GT3;T;3;3;services;services;other;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;3;4;2;3;4;11.666666666666666
128;128;7;10;11;GP;0;F;15;U;LE3;A;3;4;other;other;home;mother;1;2;0;yes;no;no;yes;yes;yes;yes;yes;5;3;2;1;1;1;9.333333333333334
129;129;8;7;8;GP;0;F;16;U;GT3;T;2;2;other;other;home;mother;1;2;0;no;no;yes;no;yes;yes;yes;yes;5;4;4;1;1;5;7.666666666666667
130;130;7;0;0;GP;0;F;18;U;GT3;T;3;3;services;services;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;5;3;4;1;1;4;2.3333333333333335
